Filename	Word-Index	Word	Phoneme-Index	Phoneme	RMS_Amplitude	Burst_Amplitude	Peak_Presence	Manner	Voicing	Place	Sibilance	Posteriority	Sys_Name	Context	Sys_Quality_BL	Sys_Quality	Sys_Family	Sys_CrossType
booksent_2013_0017	4	heart	0	HH	59.018738	0.0	0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0025	5	his	0	HH	63.581974	0.0	0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0081	11	the	0	DH	59.124477	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0002	13	occasion	3	ZH	67.365776	0.0	0	Fricative	Voiced	Postalveolar	Sibilant	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0037	19	the	0	DH	55.497116	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0100	5	he	0	HH	42.501152	0.0	0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	4	to	0	T	58.491844	61.89	1	Stop	Voiceless	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0090	11	the	0	DH	53.71523	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0059	18	pass	0	P	48.802998	57.87	1	Stop	Voiceless	Bilabial	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0044	9	the	0	DH	54.732826	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0059	20	the	0	DH	62.181904	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0033	10	party	0	P	48.984825	57.25	1	Stop	Voiceless	Bilabial	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0047	6	patron	0	P	45.60569	58.29	1	Stop	Voiceless	Bilabial	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0098	20	the	0	DH	47.410408	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0023	12	to	0	T	55.666004	58.68	1	Stop	Voiceless	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0088	14	hand	0	HH	62.41839	0.0	0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0091	3	time	0	T	51.015488	57.55	1	Stop	Voiceless	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0054	0	people	0	P	47.2778	56.55	1	Stop	Voiceless	Bilabial	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	3	courage	0	K	46.15323	55.15	1	Stop	Voiceless	Velar	0	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0073	1	opened	1	P	52.550095	58.45	1	Stop	Voiceless	Bilabial	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	12	again	1	G	50.10402	57.2	1	Stop	Voiced	Velar	0	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0083	8	their	0	DH	66.556915	0.0	0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0033	18	already	4	D	65.607414	57.5	1	Stop	Voiced	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0028	19	tedious	0	T	49.57527	56.22	1	Stop	Voiceless	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0079	6	over	1	V	52.127934	0.0	0	Fricative	Voiced	Labiodental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	2	suspense	0	S	68.21331	0.0	0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0030	12	resembled	2	Z	64.63868	0.0	0	Fricative	Voiced	Alveolar	Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0068	16	deteriorated	0	D	50.031612	58.31	1	Stop	Voiced	Alveolar	0	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	20	baffled	2	F	52.61443	0.0	0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0055	5	duchess	2	CH	49.900936	57.07	1	Affricate	Voiceless	Postalveolar	0	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0091	6	walking	2	K	49.69016	56.52	1	Stop	Voiceless	Velar	0	Posterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	4	some	0	S	69.86493	0.0	0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	Q	CV	Good	Neu-R1	Neural	Neural-GA
