Filename	Word-Index	Word	Phoneme-Index	Phoneme	Peak.Amplitude	Peak.Frequency	Dyn.Amplitude	Spectral.Tilt	Spectral.Shape	Manner	Voicing	Place	Sibilance	Posteriority	Sys_Name	Context	Sys_Quality_BL	Sys_Quality	Sys_Family	Sys_CrossType
booksent_2013_0043	5	advantages	7	JH	51.85	3031.25	9.9	0.83	8.63	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0070	17	cheap	0	CH	53.86	3093.75	8.3	-0.04	11.25	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0029	8	roger	2	JH	47.83	2843.75	0.24	-4.85	10.49	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0035	2	just	0	JH	52.88	3125.0	5.31	-2.36	8.7	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0096	7	jointed	0	JH	47.14	3375.0	0.21	-11.82	6.29	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0072	12	situation	2	CH	53.49	3531.25	8.02	4.61	12.76	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0051	4	partridges	6	JH	55.61	3000.0	8.82	1.65	12.53	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	7	children's	0	CH	54.0	3000.0	4.06	0.18	10.7	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0070	22	situation	2	CH	49.96	2875.0	6.78	1.14	11.69	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0069	5	juggler	0	JH	52.53	3000.0	4.51	-5.74	7.12	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0062	2	just	0	JH	57.31	3031.25	5.26	-4.54	8.11	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0083	12	reaching	2	CH	58.3	3093.75	8.61	2.84	12.69	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	3	jealous	0	JH	51.69	3062.5	5.61	-2.05	9.09	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0076	5	chair	0	CH	53.07	2843.75	7.27	-0.86	11.94	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0048	8	children	0	CH	57.33	3156.25	8.55	4.55	9.04	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0003	16	challenge	0	CH	51.81	3156.25	1.45	-3.1	10.58	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0022	4	approaches	4	CH	51.63	2968.75	5.49	-0.36	11.66	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	17	just	0	JH	54.23	4968.75	3.1	-4.98	8.57	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0081	12	pages	2	JH	49.5	3718.75	5.6	-0.72	9.56	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0090	4	checks	0	CH	55.0	3093.75	4.28	-4.19	8.77	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0059	6	chance	0	CH	50.6	3031.25	3.43	-3.2	9.01	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0087	8	child	0	CH	50.16	3000.0	6.06	-0.83	10.76	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0046	17	jerry	0	JH	50.27	3656.25	3.68	-5.51	8.86	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0033	5	chamber	0	CH	52.33	3031.25	5.86	-1.26	11.33	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0097	11	chopped	0	CH	47.42	3093.75	1.34	-6.12	6.48	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0055	5	duchess	2	CH	52.0	3562.5	3.6	-0.92	11.36	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0044	19	just	0	JH	51.3	3031.25	4.46	-6.28	8.03	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0072	15	joke	0	JH	47.74	3500.0	2.14	-6.68	5.95	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0025	8	petulant	2	CH	50.41	3406.25	3.24	-1.99	11.95	Affricate	Voiceless	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0088	3	gently	0	JH	55.14	3031.25	6.46	-1.31	9.86	Affricate	Voiced	Postalveolar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	24	pull	0	P	45.54	1750.0	0.0	-11.73	4.04	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0057	18	but	0	B	64.89	1593.75	0.0	-18.49	9.63	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0093	19	country	0	K	49.27	1843.75	0.0	-6.97	6.67	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0031	15	be	0	B	64.39	1968.75	0.0	-14.78	12.93	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0045	9	better	0	B	69.75	1750.0	0.0	-26.67	2.15	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0048	16	bobbing	0	B	56.28	1562.5	0.0	-16.54	0.96	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0096	10	body	2	D	58.31	2093.75	1.38	-13.99	7.58	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0060	14	got	0	G	54.65	1687.5	0.0	-13.62	7.3	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0035	10	shadowy	2	D	56.98	1812.5	0.0	-16.54	6.29	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	25	against	1	G	48.96	2406.25	1.54	-9.91	11.18	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0089	8	pail	0	P	49.35	1968.75	0.0	-11.92	7.2	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0033	12	evidently	3	D	54.16	4062.5	-3.36	-12.09	4.55	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	19	company	0	K	47.2	5218.75	0.51	-4.58	6.67	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0027	15	back	0	B	58.18	1781.25	0.0	-18.9	4.83	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0044	14	deck	0	D	56.87	1937.5	0.0	-14.75	5.24	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0084	19	couch	0	K	47.39	2000.0	0.0	-9.5	8.51	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0079	1	doing	0	D	55.52	4250.0	-1.94	-3.05	4.94	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	22	do	0	D	57.03	2093.75	-3.17	-12.67	10.17	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
