"Filename"	"Word.Index"	"Word"	"Phoneme.Index"	"Phoneme"	"Manner"	"Voicing"	"Place"	"Sibilance"	"Posteriority"	"Sys_Name"	"Context"	"Sys_Quality_BL"	"Sys_Quality"	"Sys_Family"	"Sys_CrossType"	"UnID"	"Consonant_Duration"	"Closure_Duration"	"Noise_Duration"	"RMS_Amplitude"	"Burst_Amplitude"	"Peak_Presence"	"Peak.Amplitude"	"Peak.Frequency"	"Dyn.Amplitude"	"Spectral.Tilt"	"Spectral.Shape"	"Sys.Fam"	"Sys.Name"	"Sys.Qual"	"Sys.Fam.CrossType"
"booksent_2013_0001"	0	"there"	0	"DH"	"Fricative"	"Voiced"	"Dental"	"Non_Sibilant"	"Anterior"	"A"	"CV"	"Natural"	"Natural"	"Natural"	"Natural"	"booksent_2013_0001-0-there-0-DH-A"	140	0	140	47.22461	0	0	67.67	2687.5	-4.44	-22.41	2.02	"Natural"	"A"	"Natural"	"Natural"
"booksent_2013_0001"	0	"there"	0	"DH"	"Fricative"	"Voiced"	"Dental"	"Non_Sibilant"	"Anterior"	"Q"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-GA"	"booksent_2013_0001-0-there-0-DH-Q"	100	0	100	40.28902	0	0	49.18	1593.75	-14.1	-7.65	-2.5	"Neural"	"Q"	"Neu-R1"	"Neural-GA"
"booksent_2013_0001"	0	"there"	0	"DH"	"Fricative"	"Voiced"	"Dental"	"Non_Sibilant"	"Anterior"	"R"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-GA"	"booksent_2013_0001-0-there-0-DH-R"	60	0	60	37.937874	0	0	47.72	6156.25	8.13	5.46	4.08	"Neural"	"R"	"Neu-R1"	"Neural-GA"
"booksent_2013_0001"	0	"there"	0	"DH"	"Fricative"	"Voiced"	"Dental"	"Non_Sibilant"	"Anterior"	"Y"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-WN"	"booksent_2013_0001-0-there-0-DH-Y"	80	0	80	40.2296	0	0	49.62	1593.75	-6.76	-3.41	0.14	"Neural"	"Y"	"Neu-R1"	"Neural-WN"
"booksent_2013_0001"	0	"there"	0	"DH"	"Fricative"	"Voiced"	"Dental"	"Non_Sibilant"	"Anterior"	"Z"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-WN"	"booksent_2013_0001-0-there-0-DH-Z"	80	0	80	39.67034	0	0	51.16	1687.5	-3.82	-3.06	0.03	"Neural"	"Z"	"Neu-R1"	"Neural-WN"
"booksent_2013_0001"	10	"messenger"	2	"S"	"Fricative"	"Voiceless"	"Alveolar"	"Sibilant"	"Anterior"	"A"	"CV"	"Natural"	"Natural"	"Natural"	"Natural"	"booksent_2013_0001-10-messenger-2-S-A"	100	0	100	70.837906	0	0	93.22	5843.75	28.22	26.65	0.35	"Natural"	"A"	"Natural"	"Natural"
"booksent_2013_0001"	10	"messenger"	2	"S"	"Fricative"	"Voiceless"	"Alveolar"	"Sibilant"	"Anterior"	"Q"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-GA"	"booksent_2013_0001-10-messenger-2-S-Q"	100	0	100	67.80019	0	0	98.64	5875	34.9	25.66	3.07	"Neural"	"Q"	"Neu-R1"	"Neural-GA"
"booksent_2013_0001"	10	"messenger"	2	"S"	"Fricative"	"Voiceless"	"Alveolar"	"Sibilant"	"Anterior"	"R"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-GA"	"booksent_2013_0001-10-messenger-2-S-R"	70	0	70	61.650578	0	0	85.92	5843.75	16.18	21.75	6.31	"Neural"	"R"	"Neu-R1"	"Neural-GA"
"booksent_2013_0001"	10	"messenger"	2	"S"	"Fricative"	"Voiceless"	"Alveolar"	"Sibilant"	"Anterior"	"Y"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-WN"	"booksent_2013_0001-10-messenger-2-S-Y"	100	0	100	64.102936	0	0	93.41	6031.25	29.52	22.62	6.03	"Neural"	"Y"	"Neu-R1"	"Neural-WN"
"booksent_2013_0001"	10	"messenger"	2	"S"	"Fricative"	"Voiceless"	"Alveolar"	"Sibilant"	"Anterior"	"Z"	"CV"	"Good"	"Neu-R1"	"Neural"	"Neural-WN"	"booksent_2013_0001-10-messenger-2-S-Z"	120	0	120	63.070496	0	0	90.38	5968.75	25.69	26.2	6.07	"Neural"	"Z"	"Neu-R1"	"Neural-WN"
